,asset_id,total_comments,about_covid19,published_date
0,100000006981425,183,False,2020-03-12
1,100000007033084,1892,True,2020-03-15
2,100000007039743,0,True,2020-03-17
3,100000007030204,0,True,2020-03-19
4,100000007042395,0,True,2020-03-19
5,100000007043933,1088,True,2020-03-19
6,100000007044076,883,True,2020-03-20
7,100000007045625,0,True,2020-03-21
8,100000007047869,1906,True,2020-03-22
9,100000007051881,1163,True,2020-03-24
10,100000007052183,0,True,2020-03-25
11,100000007048672,991,True,2020-03-26
12,100000007056858,1012,True,2020-03-31
13,100000007058106,0,True,2020-03-31
14,100000007062102,0,True,2020-04-01
15,100000007063748,3274,True,2020-04-02
16,100000007064729,48,True,2020-04-04
17,100000007069673,0,True,2020-04-04
18,100000007073373,1036,True,2020-04-06
19,100000007063931,234,True,2020-04-08
0,100000007030343,1583,True,2020-03-13
1,100000007029870,4408,True,2020-03-14
2,100000007034857,2447,True,2020-03-15
3,100000007041499,0,True,2020-03-18
4,100000007041449,596,True,2020-03-18
5,100000007039048,529,True,2020-03-18
6,100000007043110,997,True,2020-03-21
7,100000007047937,266,True,2020-03-22
8,100000007051463,43,True,2020-03-25
9,100000007055055,2000,True,2020-03-26
10,100000007056143,0,True,2020-03-26
12,100000007058512,2915,True,2020-03-28
13,100000007058831,682,True,2020-03-29
16,100000007068343,1255,True,2020-04-02
17,100000007067360,0,True,2020-04-04
18,100000007065951,0,True,2020-04-05
19,100000007027237,4489,False,2020-04-08
0,100000001662729,114,False,2012-07-14
4,100000007043943,0,True,2020-03-20
5,100000007039295,0,True,2020-03-20
7,100000007044136,1374,True,2020-03-23
11,100000007058008,0,True,2020-03-27
15,100000007067017,1479,True,2020-04-02
18,100000007069853,530,True,2020-04-06
